,failureType
10628,Center
49570,Loc
89750,Scratch
51640,Loc
23104,Edge-Loc
91577,Scratch
70273,Random
37812,Edge-Ring
23940,Edge-Loc
10499,Center
43306,Loc
59861,Near-full
7924,Center
65485,Near-full
67719,Random
60581,Near-full
20234,Edge-Loc
1234,Center
36725,Edge-Ring
45237,Loc
3228,Center
46115,Loc
33228,Edge-Ring
42340,Loc
66432,Near-full
10541,Center
92937,Scratch
89290,Scratch
49732,Loc
54885,Near-full
91353,Scratch
81146,Scratch
80994,Scratch
26011,Edge-Loc
82114,Scratch
74418,Random
63149,Near-full
85410,Scratch
85015,Scratch
62175,Near-full
89457,Scratch
74758,Random
76156,Random
21109,Edge-Loc
14624,Edge-Loc
27207,Edge-Ring
28009,Edge-Ring
50284,Loc
32071,Edge-Ring
40403,Edge-Ring
69089,Random
39742,Edge-Ring
71453,Random
51118,Loc
46827,Loc
61076,Near-full
82883,Scratch
87886,Scratch
40899,Loc
30477,Edge-Ring
29365,Edge-Ring
70598,Random
83208,Scratch
31136,Edge-Ring
87437,Scratch
58427,Near-full
85490,Scratch
84413,Scratch
78588,Random
87383,Scratch
67912,Random
30927,Edge-Ring
85922,Scratch
49289,Loc
42997,Loc
45559,Loc
76071,Random
86568,Scratch
2705,Center
88132,Scratch
4633,Center
54059,Near-full
51298,Loc
16956,Edge-Loc
52962,Loc
24108,Edge-Loc
4405,Center
73567,Random
45439,Loc
66503,Near-full
85983,Scratch
80055,Random
20667,Edge-Loc
40787,Loc
25838,Edge-Loc
70310,Random
40733,Loc
74959,Random
56361,Near-full
81424,Scratch
34818,Edge-Ring
77067,Random
19585,Edge-Loc
76808,Random
93685,Scratch
22703,Edge-Loc
14961,Edge-Loc
90177,Scratch
8065,Center
84254,Scratch
54790,Near-full
42088,Loc
32889,Edge-Ring
20189,Edge-Loc
80556,Random
29036,Edge-Ring
36025,Edge-Ring
61629,Near-full
14317,Edge-Loc
82773,Scratch
40048,Edge-Ring
23645,Edge-Loc
53969,Near-full
42669,Loc
53647,Loc
22150,Edge-Loc
4312,Center
26226,Edge-Loc
81652,Scratch
29311,Edge-Ring
61875,Near-full
7937,Center
68063,Random
20267,Edge-Loc
70112,Random
32111,Edge-Ring
60324,Near-full
48159,Loc
43548,Loc
54846,Near-full
18989,Edge-Loc
72329,Random
72478,Random
1026,Center
21971,Edge-Loc
47068,Loc
5969,Center
45344,Loc
40484,Loc
82740,Scratch
62530,Near-full
83227,Scratch
3866,Center
91624,Scratch
65619,Near-full
20543,Edge-Loc
6189,Center
90380,Scratch
88036,Scratch
20176,Edge-Loc
80391,Random
39673,Edge-Ring
10861,Center
2010,Center
57172,Near-full
87172,Scratch
6844,Center
18429,Edge-Loc
75957,Random
25223,Edge-Loc
73020,Random
68768,Random
17402,Edge-Loc
76374,Random
8600,Center
14281,Edge-Loc
1775,Center
85978,Scratch
9741,Center
26576,Edge-Loc
89110,Scratch
77378,Random
2406,Center
73994,Random
73542,Random
91333,Scratch
70417,Random
67781,Random
48741,Loc
56676,Near-full
17989,Edge-Loc
9591,Center
70079,Random
3307,Center
86051,Scratch
22392,Edge-Loc
4608,Center
72023,Random
28266,Edge-Ring
25821,Edge-Loc
25498,Edge-Loc
36197,Edge-Ring
20090,Edge-Loc
46216,Loc
33297,Edge-Ring
56326,Near-full
18602,Edge-Loc
62758,Near-full
38714,Edge-Ring
79485,Random
50623,Loc
56895,Near-full
34824,Edge-Ring
42803,Loc
92118,Scratch
37330,Edge-Ring
3766,Center
4460,Center
70197,Random
12736,Center
54861,Near-full
88508,Scratch
12541,Center
92108,Scratch
18349,Edge-Loc
76554,Random
75971,Random
54313,Near-full
55930,Near-full
50437,Loc
11212,Center
18185,Edge-Loc
22099,Edge-Loc
12545,Center
32995,Edge-Ring
93312,Scratch
55947,Near-full
15588,Edge-Loc
51302,Loc
26304,Edge-Loc
39560,Edge-Ring
20802,Edge-Loc
87611,Scratch
21968,Edge-Loc
68245,Random
41847,Loc
53855,Loc
19339,Edge-Loc
84260,Scratch
39434,Edge-Ring
22962,Edge-Loc
3045,Center
587,Center
46521,Loc
11340,Center
22184,Edge-Loc
92944,Scratch
37835,Edge-Ring
91852,Scratch
37823,Edge-Ring
14994,Edge-Loc
80243,Random
44030,Loc
58744,Near-full
85594,Scratch
39856,Edge-Ring
58380,Near-full
23117,Edge-Loc
50216,Loc
45124,Loc
59118,Near-full
73598,Random
85949,Scratch
42586,Loc
16078,Edge-Loc
71659,Random
6065,Center
89204,Scratch
55928,Near-full
49879,Loc
89809,Scratch
58269,Near-full
53928,Loc
11947,Center
16153,Edge-Loc
49470,Loc
70788,Random
25650,Edge-Loc
18807,Edge-Loc
77573,Random
15445,Edge-Loc
22903,Edge-Loc
19649,Edge-Loc
69706,Random
962,Center
32349,Edge-Ring
67020,Near-full
23253,Edge-Loc
73435,Random
18609,Edge-Loc
47998,Loc
66553,Near-full
13341,Center
35767,Edge-Ring
73436,Random
86949,Scratch
80165,Random
71498,Random
5339,Center
40652,Loc
59077,Near-full
21905,Edge-Loc
701,Center
29760,Edge-Ring
67854,Random
63880,Near-full
87722,Scratch
66742,Near-full
28246,Edge-Ring
68544,Random
56014,Near-full
87335,Scratch
31743,Edge-Ring
68293,Random
29315,Edge-Ring
31314,Edge-Ring
10210,Center
11225,Center
61205,Near-full
61887,Near-full
75511,Random
5567,Center
93207,Scratch
19779,Edge-Loc
37969,Edge-Ring
64340,Near-full
56624,Near-full
19644,Edge-Loc
63732,Near-full
90110,Scratch
21284,Edge-Loc
13292,Center
7968,Center
81679,Scratch
33217,Edge-Ring
40344,Edge-Ring
20637,Edge-Loc
18766,Edge-Loc
14849,Edge-Loc
78326,Random
62539,Near-full
87973,Scratch
83337,Scratch
76383,Random
2499,Center
93606,Scratch
79893,Random
25492,Edge-Loc
43894,Loc
74855,Random
41177,Loc
21265,Edge-Loc
30058,Edge-Ring
23646,Edge-Loc
35555,Edge-Ring
20097,Edge-Loc
78493,Random
69644,Random
26153,Edge-Loc
4178,Center
14782,Edge-Loc
81599,Scratch
24357,Edge-Loc
60107,Near-full
18722,Edge-Loc
72026,Random
82545,Scratch
71630,Random
69056,Random
22359,Edge-Loc
59911,Near-full
756,Center
30047,Edge-Ring
47459,Loc
23190,Edge-Loc
93462,Scratch
83411,Scratch
42894,Loc
42779,Loc
61654,Near-full
45904,Loc
67201,Near-full
58278,Near-full
10282,Center
58889,Near-full
19703,Edge-Loc
87427,Scratch
51797,Loc
59279,Near-full
28998,Edge-Ring
55609,Near-full
22306,Edge-Loc
54924,Near-full
13930,Edge-Loc
34278,Edge-Ring
75429,Random
86318,Scratch
22583,Edge-Loc
48726,Loc
85248,Scratch
30558,Edge-Ring
30769,Edge-Ring
66594,Near-full
81308,Scratch
33805,Edge-Ring
78657,Random
61817,Near-full
64723,Near-full
90260,Scratch
65050,Near-full
37755,Edge-Ring
75251,Random
80175,Random
6292,Center
93086,Scratch
58445,Near-full
17751,Edge-Loc
18419,Edge-Loc
67025,Near-full
54877,Near-full
11833,Center
59802,Near-full
24168,Edge-Loc
10885,Center
72634,Random
1304,Center
26645,Edge-Loc
18421,Edge-Loc
44708,Loc
38849,Edge-Ring
35135,Edge-Ring
9578,Center
54535,Near-full
44328,Loc
73581,Random
89765,Scratch
40376,Edge-Ring
3057,Center
62834,Near-full
15367,Edge-Loc
93488,Scratch
68823,Random
21169,Edge-Loc
73882,Random
74892,Random
83257,Scratch
79231,Random
29671,Edge-Ring
89340,Scratch
44355,Loc
58249,Near-full
83481,Scratch
27578,Edge-Ring
42525,Loc
72254,Random
8204,Center
53359,Loc
63688,Near-full
41469,Loc
42788,Loc
2838,Center
94250,Scratch
68222,Random
65952,Near-full
15121,Edge-Loc
53446,Loc
41297,Loc
27156,Edge-Ring
1342,Center
33457,Edge-Ring
90584,Scratch
12675,Center
26798,Edge-Loc
78140,Random
1490,Center
2854,Center
274,Center
91889,Scratch
91818,Scratch
65755,Near-full
71067,Random
75547,Random
13254,Center
92306,Scratch
56292,Near-full
31349,Edge-Ring
63393,Near-full
49650,Loc
7801,Center
57930,Near-full
35136,Edge-Ring
71184,Random
62475,Near-full
68876,Random
67617,Random
42738,Loc
48606,Loc
33040,Edge-Ring
74770,Random
44014,Loc
27026,Edge-Ring
73562,Random
89374,Scratch
77269,Random
80936,Scratch
64420,Near-full
14560,Edge-Loc
56276,Near-full
41046,Loc
42707,Loc
10070,Center
39348,Edge-Ring
15478,Edge-Loc
64598,Near-full
17820,Edge-Loc
6921,Center
18409,Edge-Loc
39976,Edge-Ring
7472,Center
2319,Center
8915,Center
53091,Loc
54462,Near-full
36246,Edge-Ring
51922,Loc
66355,Near-full
970,Center
12998,Center
6821,Center
53354,Loc
28421,Edge-Ring
86353,Scratch
1601,Center
39314,Edge-Ring
71623,Random
16092,Edge-Loc
9984,Center
21529,Edge-Loc
35454,Edge-Ring
14204,Edge-Loc
29014,Edge-Ring
16346,Edge-Loc
90608,Scratch
50967,Loc
10029,Center
46330,Loc
84681,Scratch
9544,Center
43806,Loc
63942,Near-full
59408,Near-full
74586,Random
40461,Loc
777,Center
75449,Random
88248,Scratch
17903,Edge-Loc
54025,Near-full
66514,Near-full
36406,Edge-Ring
60449,Near-full
51771,Loc
71226,Random
42402,Loc
83970,Scratch
83402,Scratch
6365,Center
3179,Center
4856,Center
689,Center
5598,Center
20353,Edge-Loc
17141,Edge-Loc
29515,Edge-Ring
79156,Random
92893,Scratch
55957,Near-full
66543,Near-full
18768,Edge-Loc
88507,Scratch
8328,Center
12728,Center
7828,Center
56077,Near-full
20942,Edge-Loc
79725,Random
51117,Loc
33829,Edge-Ring
1504,Center
12031,Center
92366,Scratch
78623,Random
16063,Edge-Loc
44696,Loc
47732,Loc
88771,Scratch
5513,Center
38536,Edge-Ring
53432,Loc
37014,Edge-Ring
50015,Loc
55723,Near-full
59669,Near-full
33666,Edge-Ring
15241,Edge-Loc
33707,Edge-Ring
29492,Edge-Ring
43659,Loc
30314,Edge-Ring
21963,Edge-Loc
69556,Random
15961,Edge-Loc
92920,Scratch
73645,Random
7713,Center
72445,Random
65068,Near-full
31503,Edge-Ring
6177,Center
57637,Near-full
15474,Edge-Loc
29779,Edge-Ring
93385,Scratch
20598,Edge-Loc
67429,Near-full
25445,Edge-Loc
6073,Center
70534,Random
13732,Edge-Loc
42871,Loc
67763,Random
26577,Edge-Loc
53535,Loc
41896,Loc
34927,Edge-Ring
68038,Random
14029,Edge-Loc
66638,Near-full
46427,Loc
51127,Loc
91182,Scratch
3424,Center
7745,Center
55297,Near-full
12272,Center
2906,Center
77638,Random
44351,Loc
67278,Near-full
39588,Edge-Ring
10447,Center
36310,Edge-Ring
77198,Random
6880,Center
48732,Loc
4989,Center
15533,Edge-Loc
49259,Loc
36230,Edge-Ring
75142,Random
28961,Edge-Ring
8543,Center
31202,Edge-Ring
35017,Edge-Ring
44307,Loc
62733,Near-full
15958,Edge-Loc
80642,Random
36734,Edge-Ring
24632,Edge-Loc
32162,Edge-Ring
70529,Random
64654,Near-full
3475,Center
55494,Near-full
54616,Near-full
31820,Edge-Ring
59849,Near-full
65292,Near-full
75334,Random
81030,Scratch
13507,Edge-Loc
48289,Loc
90054,Scratch
58094,Near-full
16569,Edge-Loc
48916,Loc
49148,Loc
48699,Loc
27562,Edge-Ring
93557,Scratch
10010,Center
27447,Edge-Ring
58935,Near-full
7161,Center
87855,Scratch
79128,Random
89711,Scratch
54065,Near-full
5564,Center
67800,Random
16977,Edge-Loc
609,Center
46496,Loc
41494,Loc
42939,Loc
75074,Random
17825,Edge-Loc
79888,Random
22379,Edge-Loc
23973,Edge-Loc
87018,Scratch
34929,Edge-Ring
83446,Scratch
